epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.595,0.90946,3.75496,1.32985,0.01099,1,0.33245,0.18936,0.46195,4.15533,1.2146,3.636e-05,3.636e-05,3.636e-05
2,36.727,0.85125,3.47838,1.2527,0.01386,1,0.38406,0.29558,0.50515,4.14105,1.19425,8.10001e-05,8.10001e-05,8.10001e-05
3,57.2839,0.62291,3.24126,1.10468,0.01788,1,0.36781,0.25874,0.58614,4.14567,1.2487,0.00012474,0.00012474,0.00012474
4,80.1739,0.91326,3.157,1.27052,0.02244,1,0.55693,0.43058,0.6077,4.07204,1.2562,0.000167581,0.000167581,0.000167581
5,101.964,0.59841,2.90128,1.08904,0.03101,1,0.63674,0.49583,0.53495,3.91643,1.21055,0.000209521,0.000209521,0.000209521
6,119.668,0.63611,2.74939,1.1452,0.03935,1,0.59327,0.50319,0.55055,3.90053,1.23954,0.000250561,0.000250561,0.000250561
7,137.327,0.70523,2.67308,1.18444,0.0611,1,0.61972,0.51461,0.71662,3.98917,1.43766,0.000290702,0.000290702,0.000290702
8,157.409,0.58501,2.13351,1.04771,0.08444,1,0.64354,0.5125,0.83751,4.02715,1.54654,0.000329942,0.000329942,0.000329942
9,175.287,0.6434,2.07389,1.10328,0.07344,1,0.63437,0.48135,0.84716,3.91983,1.62338,0.000368283,0.000368283,0.000368283
10,193.15,0.68269,1.95709,1.11756,0.7983,0.49432,0.646,0.48101,0.73688,3.59436,1.51678,0.000405724,0.000405724,0.000405724
11,210.603,0.71569,1.73263,1.12221,0.71631,0.5,0.73156,0.54005,0.86395,3.48853,1.73713,0.000442265,0.000442265,0.000442265
12,230.701,0.58999,1.90029,1.09219,0.71125,0.5,0.76556,0.52186,0.92311,3.54747,1.92709,0.000477906,0.000477906,0.000477906
13,252.703,0.95865,2.6008,1.38527,0.70247,0.5,0.73522,0.45951,1.08321,3.5997,2.21543,0.000512647,0.000512647,0.000512647
14,271.468,0.63473,1.69219,1.07027,0.84413,0.5,0.79026,0.51856,1.23308,3.47652,2.60003,0.000546488,0.000546488,0.000546488
15,292.966,0.58304,1.62616,1.0248,0.84682,0.38726,0.80375,0.5444,1.23304,3.45349,2.79421,0.000579429,0.000579429,0.000579429
16,314.312,0.63618,1.77122,1.07879,0.57712,0.6,0.775,0.51871,1.17469,3.35193,2.68885,0.000611471,0.000611471,0.000611471
17,331.874,0.64126,1.79602,1.00227,0.65195,0.68111,0.72229,0.50284,1.07383,3.15597,2.55919,0.000642612,0.000642612,0.000642612
18,350.224,0.62777,1.83638,1.03685,0.64123,0.661,0.71229,0.50893,1.11969,3.33086,2.58544,0.000672854,0.000672854,0.000672854
19,370.63,0.49545,1.60788,1.0138,0.86794,0.47175,0.68623,0.47372,1.14918,3.63547,2.58177,0.000702195,0.000702195,0.000702195
20,389.214,0.80184,2.03121,1.40142,0.62228,0.66314,0.60066,0.40196,0.97626,3.13867,2.03487,0.000730637,0.000730637,0.000730637
21,408.375,0.6319,1.56466,1.09261,0.66868,0.7,0.63143,0.44812,1.04735,3.24577,1.86253,0.000729018,0.000729018,0.000729018
22,429.071,0.67613,1.54704,1.04731,0.68815,0.65754,0.6259,0.44717,1.03489,3.41973,1.7584,0.000720019,0.000720019,0.000720019
23,451.38,0.52263,1.3513,0.97565,0.86598,0.5,0.65238,0.53031,0.97239,3.39114,1.67247,0.00071102,0.00071102,0.00071102
24,470.893,0.50687,1.82345,1.04824,0.8658,0.4632,0.84191,0.65468,0.86018,3.36101,1.63764,0.000702021,0.000702021,0.000702021
25,491.55,0.6076,1.5265,1.00174,0.79696,0.48988,0.85733,0.68383,0.92051,3.68566,1.71284,0.000693022,0.000693022,0.000693022
26,512.717,0.50592,1.25506,1.00248,0.7333,0.5,0.80167,0.57343,0.95133,3.74168,1.68711,0.000684022,0.000684022,0.000684022
27,533.046,0.96659,2.19542,1.4367,0.86939,0.47757,0.85396,0.61308,0.95407,3.71166,1.71624,0.000675023,0.000675023,0.000675023
28,552.856,0.56598,1.28543,1.03501,0.87299,0.5,0.94045,0.64764,0.9169,3.68823,1.79052,0.000666024,0.000666024,0.000666024
29,571.853,0.45886,4.39286,0.81303,0.97547,0.5,0.88346,0.56997,0.97815,3.54305,1.94554,0.000657025,0.000657025,0.000657025
30,591.693,0.59528,1.29503,0.993,0.87245,0.5,0.785,0.54537,1.13866,3.3105,2.22871,0.000648026,0.000648026,0.000648026
31,611.419,0.47816,2.98414,0.81916,0.99387,0.5,0.69141,0.46437,1.19256,3.47812,2.35917,0.000639027,0.000639027,0.000639027
32,631.744,0.59402,1.59835,1.04813,0.9861,0.33333,0.57768,0.3744,1.31295,3.6707,2.33811,0.000630028,0.000630028,0.000630028
33,649.573,0.57846,1.30695,1.06754,0.98647,0.33333,0.638,0.40233,1.19405,3.54379,2.28675,0.000621029,0.000621029,0.000621029
34,669.995,0.56531,1.49423,1.07278,0.98588,0.33333,0.70759,0.43277,1.23211,3.39519,2.36118,0.00061203,0.00061203,0.00061203
35,691.819,0.43891,2.84759,0.83187,0.86415,0.5,0.79542,0.54872,1.24395,3.38553,2.41762,0.000603031,0.000603031,0.000603031
36,712.642,0.75105,1.38218,1.11451,0.78319,0.5,0.82483,0.57007,1.16517,3.39646,2.36138,0.000594031,0.000594031,0.000594031
37,734.976,0.59734,1.30103,1.03507,0.79728,0.5,0.87875,0.62108,1.13001,3.28971,2.10259,0.000585032,0.000585032,0.000585032
38,753.478,0.55465,1.20143,1.03113,0.96439,0.5,0.91722,0.65837,0.99198,3.27325,1.85019,0.000576033,0.000576033,0.000576033
39,774.082,0.64685,1.41676,1.14372,0.83352,0.5,0.81381,0.5934,0.94151,3.43039,1.73998,0.000567034,0.000567034,0.000567034
40,799.807,0.59223,1.5722,1.04054,0.84071,0.5,0.71012,0.48857,0.99405,3.97056,1.9532,0.000558035,0.000558035,0.000558035
41,823.337,0.80467,1.81149,1.24067,0.86502,0.5,0.80188,0.55132,1.13109,3.85029,2.19858,0.000549036,0.000549036,0.000549036
42,846.877,0.68156,1.27087,1.3055,0.96308,0.5,0.84542,0.55149,1.18743,3.51572,2.29999,0.000540037,0.000540037,0.000540037
43,872.146,0.54015,1.04433,0.96912,0.99089,0.5,0.77309,0.55022,1.1297,3.46213,2.2144,0.000531038,0.000531038,0.000531038
44,890.197,0.54344,1.15776,1.01133,1,0.48631,0.81776,0.62008,1.00366,3.51786,2.02333,0.000522039,0.000522039,0.000522039
45,908.561,0.45432,1.00349,0.95044,1,0.48353,0.88362,0.6785,0.94514,3.28663,1.91522,0.00051304,0.00051304,0.00051304
